id,content,method,items,percents
1,"다크 초콜릿의 아로마와 묵직한 와인의 풍미를 느낄 수 있으며, 깊고 진하게 이어지는 여운이 특징이다. 예가체프 지역에서도 고지대에서 자란 원두를 사용해 묵직한 산미를 냈다. 여기에 안티와 지역에서 자란 원두를 더해 고급스러운 단맛과 스모키 향을 동시에 경험할 수 있다.",에티오피아 아라비카+과테말라 아라비카 + 산토스 + 파카마라 + 인도 아라비카,"1,2,3,4,5","30,20,30,20"
2,모카의 진한 신맛과 감미로운 향이 적당한 쓴맛과 바디감을 가진 자바와 어우러져 환상적인 맛을 즐길 수 있는 블렌드 커피입니다.,모카 마타리 + 자바,"9,12","50,50"
3,강한 꽃향기와 과일맛을 가지고 있기 때문에 다양한 향과 산뜻함을 낼 수 있습니다.,에티오피아 아라비카 + 더블에이 + 모카 마타리,"1,11,9","30,30,40"
4,"쓴맛과 풍부함, 바디감을 살리고자 할 때 적장한 블렌드입니다.",수마트라 만델링 + 마라와카,"13,15","60,40"
5,커피에 농후감과 감미로움을 풍부하게 느끼고 싶을 때 사용하는 블렌드입니다.,산토스 + 알투라 오리자바 + 카투라,"3,19,24","40,40,20"
6,카라멜의 달콤함과 견과류의 고소함이 훌륭한 조화를 이루는 밸런스 좋은 커피입니다.,산토스 + 카라콜리 + 후일라 수프리모,"3,17,6","30,30,40"
7,다크초콜릿과 건포도의 달콤함에 고소한 견과류 느낌이 더해져 라떼로 먹기 좋은 다크 블렌드커피입니다.,더블에이 케냐 + 산타로사수프리모 + 수마트리 만델링,"14,8,13","60,30,10"
8,조금 쓰고 달콤한 맛을 강조한 블렌드 커피입니다.,산토스 + 산타로사수프리모 + 파카마라라 + 자바,"3,7,4,12","30,30,20,20"
9,유럽풍의 강한 맛을 느낄 수 있는 블렌드 커피입니다.,과테말라 아라비카 + 라 프란시아 수프리모 + 산토스 + 페주루,"2,8,3,25","30,30,20,20"
10,"부드러운 맛의 콜롬비아 원두, 단 맛의 브라질 원두가 중심이 되고 산미가 느껴지는 에티오피아 원두, 고소한 맛의 과테말라 원두가 뒤를 바쳤습니다. 커피는 가볍게 들어갔지만 그 여운 만큼은 오랫동안 입 안에 남는 블렌드입니다.",후일라 수프리모 + 산토스 + 이르가체페 + 과테말라 아라빜,"6,3,11,2","40,40,10,10"
